schema_version,schema_class,schema_group,field_name,source_subject,preferred_plan_file_types,fallback_plan_file_types,preferred_pbgc_sources,extraction_rule,resolution_basis,required_review,notes
0.1.0,required,case_plan_timeline,case_id,case_or_plan,project_registry,,project registry,system_assign,single_best_source,Y,Project-controlled identifier.
0.1.0,required,case_plan_timeline,plan_id,case_or_plan,project_registry,,project registry,system_assign,single_best_source,Y,Project-controlled plan identifier.
0.1.0,required,case_plan_timeline,plan_name,case_or_plan,3B|3C|5B|5A,5A1|12D1,trusteeship package / governing plan text,extract_title_or_named_plan,cross_source_reconciliation,Y,Prefer trusteeship package and governing plan text.
0.1.0,required,case_plan_timeline,plan_number,case_or_plan,3B|10B,3A|3C,trusteeship package / Form 5500,extract_plan_number,cross_source_reconciliation,Y,Plan number often appears in trusteeship docs and Form 5500.
0.1.0,required,case_plan_timeline,plan_anniversary,case_or_plan,5B|5A|5A1,10A|12D1,Plan Summary,extract_plan_anniversary,plan_summary_resolution,Y,Usually from governing plan text or SPD.
0.1.0,required,case_plan_timeline,dopt,case_or_plan,3B|3C|3A,12D1|12B,Trusteeship Agreement / TWG Memo,extract_termination_date,single_best_source,Y,Plan Summary rules point here.
0.1.0,required,case_plan_timeline,dotr,case_or_plan,3B|3C,3A|12B,Trusteeship Agreement / TWG Memo,extract_trusteeship_date,single_best_source,Y,Trusteeship date from trusteeship package.
0.1.0,required,case_plan_timeline,bpd,case_or_plan,3C|11E3|9A,10B|12B,TWG Memo / bankruptcy docs,extract_bankruptcy_petition_date,best_available_source,Y,Only if bankruptcy relevant.
0.1.0,required,case_plan_timeline,nod,case_or_plan,3A,3C|9A,Notice of Determination,extract_notice_date_or_id,single_best_source,Y,Use trusteeship package.
0.1.0,required,case_plan_timeline,noit,case_or_plan,3C|9A,3A|12B,trusteeship package,extract_notice_of_intent_date_or_id,best_available_source,Y,Use case package.
0.1.0,required,case_plan_timeline,dobf,case_or_plan,5A|5B,5A1|10A|12D1,Plan Summary,extract_benefit_freeze_date,best_available_source,Y,Prefer amendment adopting freeze.
0.1.0,required,case_plan_timeline,successor_plan_indicator,case_or_plan,3C|9A,12B|12D1,TWG Memo / technical procedure support,extract_successor_plan_status,manual_review,Y,Often requires procedural interpretation.
0.1.0,required,resolved_plan_logic,plan_summary_version,plan_regime,12D1,12D|12B,Plan Summary artifact,use_plan_summary_artifact_version,single_best_source,Y,Controlled project artifact.
0.1.0,required,resolved_plan_logic,governing_document_id,plan_regime,5B|5A|5A1|5C,11B|12D1,Plan Document List / Plan Summary,select_controlling_document,plan_summary_resolution,Y,One or more by regime.
0.1.0,required,resolved_plan_logic,governing_document_effective_date,plan_regime,5B|5A|5A1|5C,10A|12D1,Plan Summary,extract_effective_date,plan_summary_resolution,Y,Per governing regime.
0.1.0,required,resolved_plan_logic,governing_document_adoption_date,plan_regime,5B|5A|5A1|5C,10A|12D1,Plan Summary,extract_adoption_date,plan_summary_resolution,Y,Per governing regime.
0.1.0,required,resolved_plan_logic,phase_in_percentage,plan_regime,5A|5B|12D1,10A|12B,Plan Summary / case memo,extract_phase_in_pct,best_available_source,Y,Store regime/document phase-in percent.
0.1.0,required,resolved_plan_logic,participation_eligibility_rule,plan_regime,5B|5A|5A1|5C,12D1|10A,Plan Summary section A,extract_plan_provision,plan_summary_resolution,Y,Plan Summary item 4.
0.1.0,required,resolved_plan_logic,participation_date_rule,plan_regime,5B|5A|5A1,12D1|10A,Plan Summary section A,extract_plan_provision,plan_summary_resolution,Y,Plan Summary item 5.
